molecule_chembl_id,canonical_smiles,standard_value,target_name,target_chembl_id,bioactivity_class,standard_value_norm,pIC50,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3394164,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CCCC5)n4)c3c2)s1,5.923,PAK4,CHEMBL4523,intermediate,5.923,8.227458267359056,377.4770000000002,4.0801000000000025,3,7
CHEMBL3957441,CN1CCN(c2cncc(-c3c[nH]c4ccc(-c5nnc(N)s5)cc34)n2)CC1=O,89.2,PAK4,CHEMBL4523,intermediate,89.2,7.049635145623877,406.4750000000002,2.0039999999999996,2,8
CHEMBL3394170,CCOc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,27.79,PAK4,CHEMBL4523,active,27.79,7.556111453222628,338.3960000000001,3.1243,2,7
CHEMBL3394060,Nc1ncc(-c2ccc3[nH]cc(-c4cnc5ccccc5c4)c3c2)s1,2708.96,PAK4,CHEMBL4523,active,2708.96,5.56719740763111,342.4270000000001,5.088800000000002,2,4
CHEMBL3394061,Nc1nnc(-c2ccc3[nH]cc(-c4cnc5ccccc5c4)c3c2)s1,1006.03,PAK4,CHEMBL4523,intermediate,1006.03,5.997389068345505,343.4150000000001,4.483800000000001,2,5
CHEMBL3939931,CNc1nnc(-c2ccc3[nH]cc(-c4cccc(-c5ccccc5)c4)c3c2)s1,3000.0,PAK4,CHEMBL4523,intermediate,3000.0,5.522878745280337,382.4920000000001,6.062100000000004,2,4
CHEMBL3915388,CNc1nnc(-c2ccc3[nH]cc(-c4ccc(F)cc4F)c3c2)s1,1552.41,PAK4,CHEMBL4523,active,1552.41,5.808993568372868,342.374,4.673300000000002,2,4
CHEMBL3394067,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,58.69,PAK4,CHEMBL4523,active,58.69,7.231435890486426,378.4610000000002,3.167200000000002,2,7
CHEMBL3930916,Cc1nnc2n1CCN(c1cccc(-c3c[nH]c4ccc(-c5nnc(N)s5)cc34)n1)C2,88.68,PAK4,CHEMBL4523,active,88.68,7.05217431555755,429.5130000000002,3.2507200000000003,2,9
CHEMBL3902931,Oc1nnc(-c2ccc3[nH]cc(-c4ccc(F)cc4F)c3c2)s1,3000.0,PAK4,CHEMBL4523,active,3000.0,5.522878745280337,329.331,4.337200000000001,2,4
CHEMBL3958501,Brc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,3000.0,PAK4,CHEMBL4523,active,3000.0,5.522878745280337,442.34200000000027,4.347500000000003,1,6
CHEMBL3927492,c1cc(-c2c[nH]c3ccc(-c4nncs4)cc23)nc(N2CCOCC2)c1,156.65,PAK4,CHEMBL4523,active,156.65,6.805069600782276,363.4460000000002,3.5850000000000017,1,6
CHEMBL3977709,Oc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,253.57,PAK4,CHEMBL4523,active,253.57,6.595902129359511,379.44500000000016,3.2906000000000013,2,7
CHEMBL3910677,CN1CCN(c2cccc(-c3c[nH]c4ccc(-c5nnc(N)s5)cc34)n2)CC1=O,52.68,PAK4,CHEMBL4523,active,52.68,7.278354233710254,405.48700000000014,2.609,2,7
CHEMBL3972727,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(-c5ccc(Cl)cc5)n4)c3c2)s1,75.51,PAK4,CHEMBL4523,active,75.51,7.121995529731975,403.898,5.6510000000000025,2,5
CHEMBL3901647,CC(C)Oc1cccc(-c2c[nH]c3ccc(-c4nnc(NC5CCCNC5)s4)cc23)n1,20.0,PAK4,CHEMBL4523,active,20.0,7.698970004336019,434.5690000000002,4.699500000000002,3,7
CHEMBL3900578,CC(C)Oc1cccc(-c2c[nH]c3ccc(-c4nnc(N5CC[C@@H](N)C5)s4)cc23)n1,16.71,PAK4,CHEMBL4523,active,16.71,7.777023550106609,420.5420000000002,4.073000000000002,2,7
CHEMBL3925087,CC(C)Oc1cccc(-c2c[nH]c3ccc(-c4nnc(N5CC[C@H](N)C5)s4)cc23)n1,24.8,PAK4,CHEMBL4523,active,24.8,7.605548319173784,420.5420000000002,4.073000000000002,2,7
CHEMBL3985841,CC(C)Oc1cccc(-c2c[nH]c3ccc(-c4nnc(N[C@@H]5CCCNC5)s4)cc23)n1,12.14,PAK4,CHEMBL4523,active,12.14,7.915781313260761,434.5690000000002,4.699500000000002,3,7
CHEMBL3916074,COc1ccc(CNc2nnc(-c3ccc4[nH]cc(-c5cncc(C6CC6)n5)c4c3)o2)cc1,211.59,PAK4,CHEMBL4523,active,211.59,6.674504861435736,438.4910000000002,5.173000000000004,2,7
CHEMBL3914961,c1cc2[nH]cc(-c3cncc(C4CC4)n3)c2cc1-c1nnc(N2CCCC2)o1,80.05,PAK4,CHEMBL4523,active,80.05,7.096638663744681,372.4320000000002,4.152500000000003,1,6
